                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0044,                 4.0708,                 2.0336,                0.00619,                0.29877,                0.14466,                0.08039,                 1.6824,                 4.6082,                 1.7981,             0.00027151,             0.00027151,             0.00027151
                      2,                 1.6357,                 2.9243,                  1.573,                0.83495,                0.01783,                0.13885,                0.07492,                 1.5246,                  4.168,                 1.5766,             0.00054628,             0.00054628,             0.00054628
                      3,                 1.6566,                 2.6146,                 1.5969,                0.88484,                0.19342,                0.23413,                0.10289,                 1.7593,                 3.6468,                 1.6703,             0.00080972,             0.00080972,             0.00080972
                      4,                 1.5779,                 2.3914,                 1.5304,                0.86003,                0.17814,                0.21074,                0.09771,                 1.7244,                 3.5833,                 1.7428,              0.0010619,              0.0010619,              0.0010619
                      5,                 1.6597,                 2.3963,                 1.6284,                 0.9151,                0.13306,                0.23475,                 0.1069,                 1.8791,                 3.7918,                 1.9431,              0.0013027,              0.0013027,              0.0013027
                      6,                  1.634,                 2.4068,                 1.6309,                0.31342,                0.71949,                0.47428,                0.20248,                 1.7665,                 3.3641,                 1.9812,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.6009,                  2.211,                 1.6036,                0.43312,                0.41861,                 0.4083,                0.20915,                 1.5493,                 2.9973,                  1.645,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5863,                 2.0421,                 1.5318,                0.61475,                0.24847,                0.37256,                0.18911,                  1.755,                 3.2555,                 1.9071,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.6376,                 2.0857,                 1.6446,                  0.218,                0.39684,                0.30936,                 0.1447,                 1.7208,                 3.4665,                 1.7743,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5206,                 1.7885,                 1.5037,                0.45001,                0.44128,                0.46799,                0.24652,                 1.5132,                  2.961,                 1.5663,              0.0011744,              0.0011744,              0.0011744
