epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0939,1.17388,3.53874,1.38715,0.00333,1,0.14724,0.09098,0.86394,3.42112,1.27241,4e-05,4e-05,4e-05
2,18.5231,0.54965,4.63989,0.75836,0.00333,1,0.64994,0.42268,0.80736,3.33137,1.15656,9.802e-05,9.802e-05,9.802e-05
3,25.2447,0.65835,2.70479,1.04408,0.00333,1,0.68507,0.33525,0.97493,3.41113,1.2428,0.000153664,0.000153664,0.000153664
4,32.0958,0.90598,2.21134,1.15651,0.00333,1,0.82584,0.65365,0.59774,3.06092,0.97605,0.000206932,0.000206932,0.000206932
5,38.9729,0.52224,4.42386,0.70637,0.00333,1,0.82929,0.6094,0.594,3.01247,1.02101,0.000257824,0.000257824,0.000257824
6,45.496,1.35071,3.89279,1.35352,0.00333,1,0.77298,0.56377,0.70594,3.06584,1.14893,0.00030634,0.00030634,0.00030634
7,52.5091,0.77236,1.31853,0.95229,0.00333,1,0.78059,0.55363,0.86307,3.21176,1.25828,0.00035248,0.00035248,0.00035248
8,60.6704,0.7155,1.23738,1.01752,0.00333,1,0.79329,0.48946,0.98229,3.33484,1.27394,0.000396244,0.000396244,0.000396244
9,69.0481,0.7133,1.38223,0.97587,0.00333,1,0.86649,0.61697,0.73927,3.2371,1.15731,0.000437632,0.000437632,0.000437632
10,78.2927,0.64993,1.10514,0.91787,0.00777,1,0.83901,0.62667,0.70908,3.20078,1.12319,0.000476644,0.000476644,0.000476644
11,87.9671,0.68105,1.22412,0.92292,1,0.53771,0.88143,0.60307,0.98702,3.01087,1.36102,0.00051328,0.00051328,0.00051328
12,95.4551,0.85335,1.47583,1.03641,1,0.51157,0.87263,0.5747,1.01525,3.00478,1.38339,0.00054754,0.00054754,0.00054754
13,102.312,0.58443,1.14495,0.9124,1,0.3912,0.85027,0.56463,1.11743,3.05351,1.44183,0.000579424,0.000579424,0.000579424
14,108.911,0.60886,3.58448,0.68859,1,0.25604,0.8088,0.55669,1.03541,3.08768,1.42793,0.000608932,0.000608932,0.000608932
15,115.338,0.66492,1.1865,0.95049,0.119,1,0.69787,0.4673,1.01907,3.20799,1.41667,0.000636064,0.000636064,0.000636064
16,121.84,1.1485,2.3009,1.50011,1,0.33029,0.82,0.56879,1.08571,3.17696,1.45998,0.00066082,0.00066082,0.00066082
17,128.215,0.76747,1.11607,0.96112,1,0.30961,0.84074,0.47759,1.22021,3.38191,1.6576,0.0006832,0.0006832,0.0006832
18,134.532,0.52389,1.26053,0.89859,1,0.36436,0.78744,0.51906,1.41919,3.32838,1.86101,0.000703204,0.000703204,0.000703204
19,141.221,0.63385,1.20722,0.9719,1,0.40059,0.77842,0.51857,1.28567,3.16653,1.63654,0.000720832,0.000720832,0.000720832
20,148.045,1.03888,1.59544,1.24972,0.94869,0.41667,0.71645,0.52243,1.15731,3.04618,1.52914,0.000736084,0.000736084,0.000736084
21,154.365,0.64666,1.24977,0.92225,1,0.41655,0.63863,0.4554,1.24314,3.25219,1.60242,0.00074896,0.00074896,0.00074896
22,161.028,0.61459,1.17934,0.94187,1,0.60755,0.77264,0.5198,1.33287,3.11288,1.74548,0.00075946,0.00075946,0.00075946
23,167.533,0.67343,1.3624,1.14727,0.8338,0.75,0.75654,0.53709,1.34234,2.90711,1.68647,0.000767584,0.000767584,0.000767584
24,174.392,0.77269,1.20207,0.97622,0.87519,0.58449,0.76789,0.56217,1.22248,2.94255,1.64163,0.000773332,0.000773332,0.000773332
25,180.987,0.63786,1.03374,0.89867,0.80122,0.67227,0.80008,0.55286,1.2435,3.03807,1.75208,0.000776704,0.000776704,0.000776704
26,187.463,0.68122,1.16851,0.972,0.76835,0.66667,0.74297,0.52075,1.3525,3.10052,1.97723,0.0007777,0.0007777,0.0007777
27,194.038,0.5205,1.04536,0.92316,0.8518,0.58333,0.69895,0.50547,1.42845,3.06533,2.08754,0.00077632,0.00077632,0.00077632
28,200.44,0.7708,1.15032,0.93591,0.94935,0.58333,0.71694,0.42402,1.56721,3.06126,2.19736,0.000772564,0.000772564,0.000772564
29,206.872,0.45562,0.93222,0.90014,0.94935,0.58333,0.71694,0.42402,1.56721,3.06126,2.19736,0.000766432,0.000766432,0.000766432
30,213.599,0.52491,1.03823,0.89721,0.92792,0.58333,0.73948,0.47921,1.33928,2.89368,1.73695,0.000757924,0.000757924,0.000757924
31,219.854,0.35193,4.39675,0.61208,0.87439,0.58046,0.70557,0.43577,1.36557,2.88445,1.73533,0.00074704,0.00074704,0.00074704
32,226.014,0.58002,0.98484,0.88442,0.69416,0.5,0.58791,0.31049,1.58508,3.18771,2.0283,0.00073378,0.00073378,0.00073378
33,232.117,0.52714,1.02287,0.85527,0.69416,0.5,0.58791,0.31049,1.58508,3.18771,2.0283,0.000718144,0.000718144,0.000718144
34,238.302,0.61941,1.23365,0.87339,0.60355,0.41667,0.51838,0.27147,1.76156,3.10794,2.35296,0.0006932,0.0006932,0.0006932
35,244.452,0.45236,1.07506,0.87907,0.38324,0.5,0.44529,0.27551,1.67121,2.92634,2.39961,0.0006536,0.0006536,0.0006536
36,250.539,0.52272,0.98035,0.8308,0.31894,0.83333,0.4871,0.28504,1.66398,2.83996,2.39736,0.000614,0.000614,0.000614
37,256.845,0.48617,0.98081,0.86153,0.31894,0.83333,0.4871,0.28504,1.66398,2.83996,2.39736,0.0005744,0.0005744,0.0005744
