epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0323,1.20686,3.18398,1.50145,0,0,0,0,0,197.673,0,0.00012,0.00012,0.00012
2,55.4335,0.94295,2.06252,1.30195,0,0,0,0,0,184.041,0,0.000254852,0.000254852,0.000254852
3,79.0992,0.84389,1.51027,1.20063,0,0,0,0,0,181.019,0,0.00038416,0.00038416,0.00038416
4,103.714,0.89007,1.48329,1.16789,0,0,0,0,0,184.595,0,0.000507924,0.000507924,0.000507924
5,126.894,0.84494,1.36438,1.11011,0,0,0,0,0,192.977,0,0.000626144,0.000626144,0.000626144
6,150.404,0.94259,1.4787,1.16769,0,0,0,0,0,196.701,0,0.00073882,0.00073882,0.00073882
7,174.53,0.89438,1.33845,1.11622,0,0,0,0,0,194.425,0,0.000845952,0.000845952,0.000845952
8,198.585,0.83395,1.32488,1.10981,0,0,0,0,0,187.104,0,0.00094754,0.00094754,0.00094754
9,222.867,0.81475,1.2822,1.06985,0,0,0,0,0,175.324,0,0.00104358,0.00104358,0.00104358
10,247.174,0.85361,1.34329,1.13684,0,0,0,0,0,186.521,0,0.00113408,0.00113408,0.00113408
11,270.816,0.80455,1.16485,1.0808,0,0,0,0,0,299.057,0,0.00121904,0.00121904,0.00121904
12,293.407,0.81569,1.19602,1.07674,0,0,0,0,0,272.342,0,0.00129845,0.00129845,0.00129845
13,316.103,0.81616,1.21391,1.08349,0,0,0,0,0,340.738,0,0.00137232,0.00137232,0.00137232
14,338.762,0.9281,1.208,1.18822,0,0,0,0,0,245.855,0,0.00144064,0.00144064,0.00144064
15,361.098,0.82206,1.12669,1.08915,0,0,0,0,0,299.244,0,0.0014456,0.0014456,0.0014456
16,383.524,0.77419,1.13618,1.06463,0,0,0,0,0,298.921,0,0.001406,0.001406,0.001406
17,406.376,0.84025,1.03778,1.11705,0,0,0,0,0,326.493,0,0.0013664,0.0013664,0.0013664
18,428.493,0.72952,0.95648,1.0172,0,0,0,0,0,409.671,0,0.0013268,0.0013268,0.0013268
19,450.902,0.76115,0.93484,1.0628,0,0,0,0,0,361.358,0,0.0012872,0.0012872,0.0012872
20,473.209,0.79346,1.05296,1.07715,0,0,0,0,0,286.18,0,0.0012476,0.0012476,0.0012476
21,495.741,0.73042,0.88967,1.03602,0,0,0,0,0,267.755,0,0.001208,0.001208,0.001208
22,519.419,0.66075,0.85275,1.01476,0,0,0,0,0,286.791,0,0.0011684,0.0011684,0.0011684
23,542.13,0.71093,0.82303,0.97703,0,0,0,0,0,311.092,0,0.0011288,0.0011288,0.0011288
24,565.984,0.71772,0.86494,1.03124,0,0,0,0,0,254.214,0,0.0010892,0.0010892,0.0010892
25,590.539,0.69472,0.85735,1.02165,0,0,0,0,0,224.233,0,0.0010496,0.0010496,0.0010496
26,615.055,0.67799,0.80615,0.98332,0,0,0,0,0,204.497,0,0.00101,0.00101,0.00101
27,639.033,0.75864,0.84717,1.04745,0,0,0,0,0,243.779,0,0.0009704,0.0009704,0.0009704
28,663.995,0.70859,0.84144,1.04918,0,0,0,0,0,286.218,0,0.0009308,0.0009308,0.0009308
29,687.466,0.67129,0.76495,1.03597,0,0,0,0,0,284.915,0,0.0008912,0.0008912,0.0008912
30,712.76,0.5956,0.72937,0.98983,0,0,0,0,0,267.76,0,0.0008516,0.0008516,0.0008516
31,735.64,0.63017,0.69997,0.96983,0,0,0,0,0,300.981,0,0.000812,0.000812,0.000812
32,758.118,0.62632,0.67431,0.98161,0,0,0,0,0,317.418,0,0.0007724,0.0007724,0.0007724
33,780.95,0.54516,0.68594,0.94592,0,0,0,0,0,316.784,0,0.0007328,0.0007328,0.0007328
34,803.16,0.54759,0.6479,0.95289,0,0,0,0,0,304.774,0,0.0006932,0.0006932,0.0006932
35,824.918,0.66635,0.70061,1.01765,0,0,0,0,0,308.448,0,0.0006536,0.0006536,0.0006536
36,846.84,0.54841,0.63759,0.95226,0,0,0,0,0,281.986,0,0.000614,0.000614,0.000614
37,868.682,0.59068,0.62124,0.98464,0,0,0,0,0,274.865,0,0.0005744,0.0005744,0.0005744
38,890.462,0.61713,0.65459,0.99918,0,0,0,0,0,272.346,0,0.0005348,0.0005348,0.0005348
39,912.2,0.55819,0.59548,0.96073,0,0,0,0,0,276.463,0,0.0004952,0.0004952,0.0004952
40,933.882,0.53436,0.57621,0.96481,0,0,0,0,0,281.087,0,0.0004556,0.0004556,0.0004556
41,955.707,0.43694,0.60429,0.89221,0,0,0,0,0,271.162,0,0.000416,0.000416,0.000416
42,978.581,0.41889,0.59438,0.89379,0,0,0,0,0,225.359,0,0.0003764,0.0003764,0.0003764
43,1000.75,0.44954,0.58944,0.86876,0,0,0,0,0,195.697,0,0.0003368,0.0003368,0.0003368
44,1023.72,0.43864,0.5778,0.92127,0,0,0,0,0,215.715,0,0.0002972,0.0002972,0.0002972
45,1046.79,0.47892,0.5661,0.89241,0,0,0,0,0,235.993,0,0.0002576,0.0002576,0.0002576
46,1069.54,0.37524,0.51245,0.85171,0,0,0,0,0,278.976,0,0.000218,0.000218,0.000218
47,1092.95,0.35852,0.50318,0.85466,0,0,0,0,0,305.964,0,0.0001784,0.0001784,0.0001784
48,1115.89,0.34944,0.49464,0.86079,0,0,0,0,0,313.281,0,0.0001388,0.0001388,0.0001388
49,1139.25,0.34741,0.47282,0.86746,0,0,0,0,0,313.812,0,9.92e-05,9.92e-05,9.92e-05
50,1163.98,0.32049,0.46788,0.85639,0,0,0,0,0,310.792,0,5.96e-05,5.96e-05,5.96e-05
