epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.199,1.20686,3.18398,1.50145,0.0033,0.9899,0.55632,0.42876,0.72596,3.39132,1.15989,0.00012,0.00012,0.00012
2,51.0275,0.94295,2.06252,1.30195,1,0.44585,0.77836,0.67704,0.56174,3.02497,1.06567,0.000254852,0.000254852,0.000254852
3,74.3715,0.84389,1.51027,1.20063,0.91547,0.65637,0.91202,0.65844,0.85675,3.05925,1.20025,0.00038416,0.00038416,0.00038416
4,97.3394,0.89007,1.48329,1.16789,1,0.31983,0.97679,0.73125,0.7793,3.01175,1.1252,0.000507924,0.000507924,0.000507924
5,120.379,0.84494,1.36438,1.11011,0.9878,0.81762,0.97821,0.82229,0.68112,2.61013,1.06365,0.000626144,0.000626144,0.000626144
6,143.061,0.94259,1.4787,1.16769,0.96218,0.771,0.95541,0.68144,0.78084,2.80614,1.1115,0.00073882,0.00073882,0.00073882
7,165.786,0.89438,1.33845,1.11622,0.88246,0.6067,0.89511,0.65607,0.85537,3.00077,1.2766,0.000845952,0.000845952,0.000845952
8,188.555,0.83395,1.32488,1.10981,0.9264,0.63571,0.91026,0.65792,1.07744,3.07979,1.40449,0.00094754,0.00094754,0.00094754
9,211.646,0.81475,1.2822,1.06985,0.71481,0.70891,0.78583,0.5252,1.46171,3.04178,2.05089,0.00104358,0.00104358,0.00104358
10,234.601,0.85361,1.34329,1.13684,0.77037,0.71717,0.80637,0.51255,1.20398,2.79531,1.56922,0.00113408,0.00113408,0.00113408
11,257.659,0.80455,1.16485,1.0808,0.70989,0.68687,0.73339,0.55791,0.96076,2.4156,1.55321,0.00121904,0.00121904,0.00121904
12,281.099,0.81569,1.19602,1.07674,0.71172,0.79801,0.78667,0.51368,1.27268,2.68813,2.2756,0.00129845,0.00129845,0.00129845
13,304.213,0.81616,1.21391,1.08349,0.40925,0.78788,0.54052,0.25757,1.32161,3.37917,2.29219,0.00137232,0.00137232,0.00137232
14,327.243,0.9281,1.208,1.18822,0.88278,0.86869,0.91496,0.71281,0.89007,2.03707,1.393,0.00144064,0.00144064,0.00144064
15,350.736,0.82206,1.12669,1.08915,0.7036,0.91119,0.86671,0.69406,0.85207,2.43983,1.21616,0.0014456,0.0014456,0.0014456
16,373.482,0.77419,1.13618,1.06463,0.74616,0.89899,0.8806,0.59292,0.94219,2.63668,1.29848,0.001406,0.001406,0.001406
17,397.118,0.84025,1.03778,1.11705,0.78725,0.91919,0.89475,0.67845,0.89977,2.0278,1.32037,0.0013664,0.0013664,0.0013664
18,420.471,0.72952,0.95648,1.0172,0.88044,0.96701,0.91503,0.74696,0.98243,2.43991,1.53041,0.0013268,0.0013268,0.0013268
19,443.335,0.76115,0.93484,1.0628,0.90956,0.94949,0.98238,0.79729,1.03855,1.83767,1.67239,0.0012872,0.0012872,0.0012872
20,466.249,0.79346,1.05296,1.07715,0.98508,1,0.9948,0.83108,0.93235,1.67707,1.30309,0.0012476,0.0012476,0.0012476
21,489.53,0.73042,0.88967,1.03602,0.94018,1,0.99276,0.81964,0.83389,1.69606,1.13952,0.001208,0.001208,0.001208
22,512.081,0.66075,0.85275,1.01476,0.98756,1,0.9941,0.82454,0.73201,1.52343,1.11732,0.0011684,0.0011684,0.0011684
23,534.992,0.71093,0.82303,0.97703,0.93936,1,0.99083,0.85165,0.68532,1.53841,1.08382,0.0011288,0.0011288,0.0011288
24,557.798,0.71772,0.86494,1.03124,0.97876,1,0.9943,0.86878,0.70561,1.12985,1.13107,0.0010892,0.0010892,0.0010892
25,580.615,0.69472,0.85735,1.02165,0.98471,1,0.9942,0.88,0.64874,1.06411,1.10755,0.0010496,0.0010496,0.0010496
26,603.99,0.67799,0.80615,0.98332,0.98706,1,0.9931,0.86703,0.75119,1.08376,1.16512,0.00101,0.00101,0.00101
27,626.977,0.75864,0.84717,1.04745,0.95092,0.97857,0.99287,0.85064,0.69254,1.07494,1.07058,0.0009704,0.0009704,0.0009704
