epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4683,1.59758,2.30992,1.6847,0.36448,0.61578,0.47347,0.22993,1.46978,2.5627,1.48651,0.00048,0.00048,0.00048
2,187.748,1.49021,1.69708,1.55772,0.45113,0.30789,0.31951,0.15061,1.7343,2.3578,1.77267,0.000960596,0.000960596,0.000960596
3,274.25,1.52017,1.66733,1.60109,0.48695,0.46819,0.43666,0.19531,1.93057,1.91955,1.98322,0.00142139,0.00142139,0.00142139
4,358.476,1.55353,1.7024,1.61758,0.54396,0.53115,0.53912,0.24455,1.83439,2.45656,1.90278,0.00186239,0.00186239,0.00186239
5,442.25,1.56725,1.60213,1.61519,0.56732,0.51045,0.49793,0.21017,1.94052,2.24583,2.272,0.0018416,0.0018416,0.0018416
6,526.994,1.51978,1.51111,1.567,0.43326,0.40967,0.34986,0.1424,1.95781,2.36687,2.18579,0.001802,0.001802,0.001802
7,611.385,1.51011,1.4495,1.56131,0.42699,0.45802,0.36156,0.16457,1.79118,2.16703,1.97491,0.0017624,0.0017624,0.0017624
8,694.588,1.48524,1.45876,1.56248,0.61967,0.59796,0.62969,0.3122,1.77072,1.5327,1.91029,0.0017228,0.0017228,0.0017228
9,778.269,1.47261,1.34625,1.49874,0.6644,0.47855,0.54263,0.27153,1.64901,1.93906,1.71421,0.0016832,0.0016832,0.0016832
10,860.777,1.4375,1.32667,1.49946,0.61798,0.67094,0.64287,0.32179,1.62574,1.55579,1.7023,0.0016436,0.0016436,0.0016436
11,945.981,1.44023,1.31149,1.51209,0.65863,0.60305,0.65726,0.33094,1.70778,1.58383,1.807,0.001604,0.001604,0.001604
12,1028.78,1.36275,1.25082,1.46785,0.76227,0.6935,0.76734,0.43267,1.52456,1.34224,1.58053,0.0015644,0.0015644,0.0015644
13,1112.35,1.343,1.15792,1.43067,0.69498,0.68413,0.73729,0.40386,1.50669,1.31687,1.61012,0.0015248,0.0015248,0.0015248
14,1195.08,1.37225,1.19195,1.45059,0.81141,0.64377,0.75194,0.41395,1.55137,1.24091,1.61972,0.0014852,0.0014852,0.0014852
15,1278.43,1.31322,1.14172,1.44141,0.73913,0.63359,0.74132,0.43092,1.4351,1.27975,1.55984,0.0014456,0.0014456,0.0014456
16,1378.42,1.31216,1.13505,1.41047,0.74804,0.71012,0.78432,0.44977,1.44585,1.16865,1.56357,0.001406,0.001406,0.001406
17,1479.84,1.2534,1.0719,1.37094,0.80457,0.73791,0.81451,0.47637,1.4786,1.11366,1.56263,0.0013664,0.0013664,0.0013664
18,1609.81,1.27235,1.0791,1.39977,0.75241,0.71247,0.77912,0.45739,1.54715,1.08776,1.63071,0.0013268,0.0013268,0.0013268
19,1760.41,1.21125,1.02191,1.34337,0.78485,0.72774,0.79402,0.45526,1.53444,1.1917,1.5446,0.0012872,0.0012872,0.0012872
20,1920.02,1.21714,1.01754,1.34941,0.83013,0.74608,0.85299,0.51709,1.45873,1.1118,1.57181,0.0012476,0.0012476,0.0012476
21,2080.53,1.19263,0.9833,1.34004,0.75534,0.74046,0.79366,0.48554,1.29791,1.12516,1.41992,0.001208,0.001208,0.001208
22,2241.06,1.18464,0.96976,1.31866,0.85585,0.81425,0.87587,0.55374,1.34877,0.93831,1.43111,0.0011684,0.0011684,0.0011684
23,2398.97,1.18491,0.9733,1.31891,0.8808,0.78971,0.88423,0.54184,1.2932,0.91054,1.43111,0.0011288,0.0011288,0.0011288
24,2554.39,1.14855,0.93214,1.30368,0.84922,0.7888,0.88084,0.54196,1.34661,0.92009,1.47037,0.0010892,0.0010892,0.0010892
25,2700.14,1.12743,0.90822,1.28535,0.85569,0.81478,0.88798,0.56569,1.23919,0.87141,1.3579,0.0010496,0.0010496,0.0010496
26,2810.55,1.11607,0.89817,1.29534,0.81416,0.77099,0.8359,0.54361,1.21456,0.98412,1.34037,0.00101,0.00101,0.00101
27,2898.84,1.13023,0.89911,1.28572,0.87086,0.85794,0.9161,0.59159,1.22564,0.83971,1.3687,0.0009704,0.0009704,0.0009704
28,2985.66,1.11358,0.8917,1.27323,0.85065,0.85509,0.91031,0.5767,1.23883,0.85073,1.34302,0.0009308,0.0009308,0.0009308
29,3067.02,1.09052,0.86706,1.26481,0.88602,0.85496,0.9208,0.59755,1.26289,0.8402,1.42379,0.0008912,0.0008912,0.0008912
30,3155.8,1.0829,0.85271,1.25727,0.91359,0.84224,0.91697,0.5925,1.25912,0.83919,1.42094,0.0008516,0.0008516,0.0008516
31,3237.01,1.04496,0.80292,1.23747,0.91681,0.82443,0.91179,0.60152,1.21508,0.75929,1.34321,0.000812,0.000812,0.000812
32,3323.58,1.06947,0.82949,1.25847,0.80839,0.84478,0.88463,0.58201,1.19863,0.96719,1.34704,0.0007724,0.0007724,0.0007724
33,3419.24,1.04416,0.80953,1.23875,0.87343,0.82528,0.90753,0.5898,1.24556,0.81321,1.38644,0.0007328,0.0007328,0.0007328
34,3514.07,1.01599,0.78503,1.22471,0.87976,0.85643,0.9223,0.62482,1.12087,0.71465,1.27679,0.0006932,0.0006932,0.0006932
35,3608.09,1.02456,0.77961,1.21993,0.89694,0.8637,0.92422,0.61543,1.11502,0.71603,1.28561,0.0006536,0.0006536,0.0006536
36,3697.88,0.98823,0.7671,1.19852,0.92679,0.81679,0.93092,0.631,1.08388,0.73852,1.23806,0.000614,0.000614,0.000614
37,3788.98,0.98529,0.73573,1.20627,0.94583,0.84412,0.93356,0.63959,1.14187,0.70071,1.30878,0.0005744,0.0005744,0.0005744
38,3877.88,0.9659,0.73096,1.17384,0.91016,0.8626,0.93887,0.66258,1.07903,0.67008,1.23944,0.0005348,0.0005348,0.0005348
39,3966.6,0.96996,0.72432,1.18179,0.91011,0.89822,0.95001,0.67307,1.12066,0.66794,1.25216,0.0004952,0.0004952,0.0004952
40,4066.91,0.93301,0.72144,1.17865,0.93489,0.87693,0.95408,0.67696,1.13509,0.67327,1.29511,0.0004556,0.0004556,0.0004556
41,4156.16,0.84331,0.58092,1.11502,0.93638,0.86135,0.94733,0.66605,1.08431,0.65737,1.25105,0.000416,0.000416,0.000416
42,4243.27,0.84318,0.55598,1.09655,0.94005,0.86514,0.95757,0.67417,1.03116,0.6647,1.19845,0.0003764,0.0003764,0.0003764
43,4326.15,0.80458,0.52959,1.08912,0.91585,0.89822,0.95967,0.69717,0.9725,0.62934,1.14579,0.0003368,0.0003368,0.0003368
44,4409.39,0.79553,0.51064,1.07912,0.92506,0.91349,0.9571,0.69741,1.00981,0.67199,1.16368,0.0002972,0.0002972,0.0002972
45,4492.48,0.79589,0.52129,1.08556,0.93538,0.92112,0.95628,0.68827,0.99206,0.62127,1.14917,0.0002576,0.0002576,0.0002576
46,4576.32,0.7726,0.49616,1.06928,0.93066,0.91858,0.96039,0.70803,0.93832,0.60309,1.1372,0.000218,0.000218,0.000218
