epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8573,1.6353,3.06638,1.76485,0.0035,1,0.16346,0.05679,2.0584,3.65441,2.97745,0.00052,0.00052,0.00052
2,156.812,1.67671,2.70914,1.74824,0.1131,0.14286,0.07521,0.0336,1.90168,3.70218,3.48206,0.00103901,0.00103901,0.00103901
3,230.903,1.74707,2.66065,1.82707,0.10107,0.14286,0.02942,0.00749,3.49731,6.74282,6.16411,0.00153664,0.00153664,0.00153664
4,315.362,1.78934,2.68572,1.91834,0.09297,0.09524,0.01263,0.00571,3.86828,9.23138,7.02078,0.0018812,0.0018812,0.0018812
5,399.792,1.77655,2.55898,1.88106,0.19652,0.19048,0.08968,0.04478,3.46702,8.41069,5.81244,0.0018416,0.0018416,0.0018416
6,488.355,1.78099,2.45991,1.92234,0.07892,0.19048,0.03843,0.01052,3.35968,13.0691,5.00085,0.001802,0.001802,0.001802
7,569.154,1.77789,2.34871,1.91001,0.0812,0.04762,0.008,0.00246,4.22655,6.4083,5.86009,0.0017624,0.0017624,0.0017624
8,656.606,1.68411,2.25764,1.83089,0.14153,0.14286,0.05635,0.01397,3.15558,5.0717,4.25781,0.0017228,0.0017228,0.0017228
9,734.617,1.69237,2.19439,1.82658,0.06184,0.09524,0.02736,0.00796,3.15304,4.48457,4.43114,0.0016832,0.0016832,0.0016832
10,810.227,1.64412,2.15302,1.82762,0.17738,0.14286,0.08324,0.03143,3.27326,3.22943,4.05406,0.0016436,0.0016436,0.0016436
11,886.092,1.60448,2.08035,1.73972,0.31253,0.3684,0.25223,0.08823,2.34688,2.39902,3.42047,0.001604,0.001604,0.001604
12,962.391,1.60789,1.9998,1.75978,0.48216,0.61905,0.41921,0.16756,1.91652,2.37975,3.08631,0.0015644,0.0015644,0.0015644
13,1037.53,1.58389,1.9276,1.71879,0.10505,0.28571,0.09153,0.0319,2.03243,2.82777,3.10723,0.0015248,0.0015248,0.0015248
